Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,3842.330078,3856.780029,3838.219971,3850.959961,3850.959961,371200
2021-03-17,3846.580078,3853.659912,3838.429932,3849.739990,3849.739990,336000
2021-03-18,3856.760010,3874.909912,3852.250000,3867.540039,3867.540039,48265500
2021-03-19,3851.610107,3861.649902,3819.379883,3837.020020,3837.020020,86400200
2021-03-22,3828.659912,3841.489990,3811.800049,3833.840088,3833.840088,26109800
2021-03-23,3827.540039,3842.370117,3804.899902,3827.020020,3827.020020,27885100
2021-03-24,3820.780029,3833.659912,3803.840088,3832.550049,3832.550049,27168000
2021-03-25,3822.590088,3832.570068,3784.090088,3832.570068,3832.570068,24354600
2021-03-26,3841.459961,3871.879883,3841.459961,3866.679932,3866.679932,24742600
2021-03-29,3871.820068,3890.199951,3867.250000,3882.870117,3882.870117,22652500
2021-03-30,3885.110107,3929.489990,3885.110107,3926.199951,3926.199951,28353300
2021-03-31,3923.919922,3925.969971,3910.899902,3919.209961,3919.209961,29086600
2021-04-01,3922.360107,3948.989990,3922.360107,3945.959961,3945.959961,20590100
2021-04-06,3950.179932,3988.100098,3950.179932,3970.419922,3970.419922,31219800
2021-04-07,3965.860107,3971.889893,3952.120117,3956.770020,3956.770020,22480200
2021-04-08,3961.000000,3977.919922,3961.000000,3977.830078,3977.830078,28520500
2021-04-09,3978.840088,3987.729980,3970.409912,3978.840088,3978.840088,21456100
2021-04-12,3978.540039,3980.520020,3961.899902,3961.899902,3961.899902,19441500
2021-04-13,3964.909912,3980.570068,3953.260010,3966.989990,3966.989990,24474700
2021-04-14,3973.330078,3982.080078,3968.679932,3976.280029,3976.280029,23439500
2021-04-15,3978.389893,3997.689941,3978.389893,3993.429932,3993.429932,23965400
2021-04-16,3992.560059,4037.610107,3991.199951,4032.989990,4032.989990,36668500
2021-04-19,4033.590088,4040.879883,4017.699951,4019.909912,4019.909912,23393900
2021-04-20,4014.010010,4018.659912,3935.830078,3940.459961,3940.459961,33916600
2021-04-21,3943.189941,3985.310059,3943.189941,3976.409912,3976.409912,27397700
2021-04-22,3979.580078,4017.189941,3979.580078,4014.800049,4014.800049,20988200
2021-04-23,4011.100098,4016.820068,3981.870117,4013.340088,4013.340088,19471300
2021-04-26,4013.070068,4026.330078,4004.530029,4020.830078,4020.830078,25159000
2021-04-27,4017.919922,4019.209961,4001.239990,4011.909912,4011.909912,27504300
2021-04-28,4011.020020,4026.739990,4006.340088,4015.030029,4015.030029,28225100
2021-04-29,4021.439941,4033.870117,3985.250000,3996.899902,3996.899902,34482600
2021-04-30,3993.189941,4004.840088,3974.719971,3974.739990,3974.739990,28081300
2021-05-03,3979.500000,4009.729980,3965.500000,4000.250000,4000.250000,20815100
2021-05-04,4001.129883,4018.139893,3919.459961,3924.800049,3924.800049,35163600
2021-05-05,3927.290039,4003.090088,3927.290039,4002.790039,4002.790039,30131400
2021-05-06,3997.699951,4022.739990,3974.820068,3999.439941,3999.439941,34946400
2021-05-07,3999.929932,4034.250000,3999.929932,4034.250000,4034.250000,27533900
2021-05-10,4031.989990,4035.659912,4014.669922,4023.350098,4023.350098,29530900
2021-05-11,4020.489990,4020.489990,3917.639893,3946.060059,3946.060059,34990600
2021-05-12,3947.649902,3964.800049,3925.850098,3947.429932,3947.429932,34878300
2021-05-14,3970.760010,4017.439941,3961.100098,4017.439941,4017.439941,26881300
2021-05-17,4018.159912,4032.110107,3993.879883,4006.840088,4006.840088,25369600
2021-05-18,4014.679932,4043.209961,3996.750000,4005.340088,4005.340088,28234500
2021-05-19,3995.699951,3995.699951,3892.719971,3936.739990,3936.739990,32610000
2021-05-20,3948.629883,3999.909912,3936.790039,3999.909912,3999.909912,25602600
2021-05-21,4001.530029,4032.969971,3999.110107,4025.780029,4025.780029,31686500
2021-05-25,4042.489990,4056.949951,4036.040039,4036.040039,4036.040039,24819400
2021-05-26,4039.570068,4054.139893,4022.050049,4031.669922,4031.669922,25921600
2021-05-27,4028.750000,4056.790039,4019.850098,4039.209961,4039.209961,45813400
2021-05-28,4042.370117,4075.870117,4042.370117,4070.560059,4070.560059,22778200
2021-05-31,4068.110107,4071.739990,4037.250000,4039.459961,4039.459961,17651900
2021-06-01,4044.070068,4101.259766,4044.070068,4071.750000,4071.750000,25122300
2021-06-02,4072.100098,4088.520020,4064.070068,4088.500000,4088.500000,23880600
2021-06-03,4088.949951,4088.949951,4051.810059,4079.239990,4079.239990,23186200
2021-06-04,4079.290039,4091.949951,4070.350098,4089.379883,4089.379883,23525900
2021-06-07,4089.270020,4107.029785,4069.520020,4097.649902,4097.649902,23910700
2021-06-08,4098.629883,4115.620117,4092.760010,4096.009766,4096.009766,24823900
2021-06-09,4095.139893,4102.060059,4078.159912,4096.850098,4096.850098,18185000
2021-06-10,4099.069824,4109.200195,4080.149902,4096.069824,4096.069824,25788700
2021-06-11,4098.040039,4128.990234,4097.990234,4126.700195,4126.700195,21152700
2021-06-14,4134.790039,4155.240234,4127.939941,4132.669922,4132.669922,21482000
2021-06-15,4144.799805,4158.359863,4143.520020,4143.520020,4143.520020,21048300
2021-06-16,4145.500000,4156.810059,4138.750000,4151.759766,4151.759766,25245000
2021-06-17,4144.910156,4164.580078,4131.419922,4158.140137,4158.140137,30558000
2021-06-18,4155.779785,4165.589844,4078.760010,4083.370117,4083.370117,65764800
2021-06-21,4079.419922,4114.189941,4049.600098,4112.330078,4112.330078,25928900
2021-06-22,4112.339844,4128.399902,4093.469971,4123.129883,4123.129883,21209500
2021-06-23,4126.100098,4133.979980,4075.939941,4075.939941,4075.939941,20789500
2021-06-24,4083.050049,4126.410156,4083.050049,4122.430176,4122.430176,22803800
2021-06-25,4123.939941,4127.450195,4105.759766,4120.660156,4120.660156,20992600
2021-06-28,4119.870117,4125.729980,4089.000000,4089.909912,4089.909912,18089700
2021-06-29,4092.300049,4124.330078,4090.290039,4107.509766,4107.509766,20700500
2021-06-30,4104.750000,4111.979980,4048.050049,4064.300049,4064.300049,30687000
2021-07-01,4068.199951,4113.580078,4049.600098,4078.889893,4078.889893,22439000
2021-07-02,4082.699951,4099.990234,4076.229980,4084.310059,4084.310059,18773900
2021-07-05,4081.080078,4095.149902,4057.909912,4087.370117,4087.370117,14808700
2021-07-06,4087.500000,4087.500000,4038.770020,4052.669922,4052.669922,23456700
2021-07-07,4055.639893,4083.110107,4055.639893,4078.530029,4078.530029,24348900
2021-07-08,4070.739990,4070.739990,3961.979980,3991.659912,3991.659912,39132300
2021-07-09,3996.719971,4068.139893,3996.719971,4068.090088,4068.090088,26168200
2021-07-12,4068.639893,4098.759766,4046.110107,4093.379883,4093.379883,18349400
2021-07-13,4094.260010,4100.810059,4084.780029,4094.560059,4094.560059,23209800
2021-07-14,4088.100098,4104.830078,4077.139893,4099.500000,4099.500000,0
2021-07-15,4096.000000,4096.000000,4046.040039,4056.389893,4056.389893,22665700
2021-07-16,4060.219971,4072.580078,4014.580078,4035.770020,4035.770020,24114500
2021-07-19,4018.909912,4018.909912,3904.780029,3928.530029,3928.530029,37554400
2021-07-20,3937.399902,3979.280029,3920.929932,3956.340088,3956.340088,28529200
2021-07-21,3973.899902,4029.090088,3973.899902,4026.679932,4026.679932,28961700
2021-07-22,4037.939941,4078.580078,4037.939941,4059.050049,4059.050049,22556300
2021-07-23,4066.699951,4111.430176,4066.699951,4109.100098,4109.100098,21702700
2021-07-26,4103.500000,4106.399902,4072.860107,4102.589844,4102.589844,25844200
2021-07-27,4099.799805,4099.799805,4056.229980,4064.830078,4064.830078,22912400
2021-07-28,4067.840088,4103.450195,4065.250000,4103.029785,4103.029785,21437300
2021-07-29,4104.979980,4128.810059,4104.979980,4116.770020,4116.770020,22534200
2021-07-30,4113.109863,4114.279785,4078.330078,4089.300049,4089.300049,30295500
2021-08-02,4095.500000,4135.680176,4095.500000,4116.620117,4116.620117,22391100
2021-08-03,4114.520020,4129.209961,4102.129883,4117.950195,4117.950195,21789200
2021-08-04,4124.330078,4150.089844,4124.330078,4144.899902,4144.899902,23473300
2021-08-05,4141.299805,4166.140137,4141.299805,4161.080078,4161.080078,22244000
2021-08-06,4159.040039,4183.919922,4155.160156,4174.540039,4174.540039,28549500
2021-08-09,4175.569824,4186.049805,4170.950195,4177.149902,4177.149902,18159400
2021-08-10,4178.589844,4197.120117,4178.589844,4187.819824,4187.819824,16678300
2021-08-11,4189.629883,4219.060059,4184.870117,4206.330078,4206.330078,23519200
2021-08-12,4205.740234,4232.220215,4204.120117,4226.330078,4226.330078,20472100
2021-08-13,4225.729980,4242.259766,4223.490234,4229.700195,4229.700195,18086900
2021-08-16,4219.790039,4219.790039,4188.970215,4202.439941,4202.439941,20108600
2021-08-17,4197.850098,4202.020020,4172.669922,4196.399902,4196.399902,28102900
2021-08-18,4197.319824,4199.500000,4179.580078,4189.419922,4189.419922,22129400
2021-08-19,4183.740234,4183.740234,4082.070068,4124.709961,4124.709961,31924300
2021-08-20,4125.299805,4150.660156,4105.990234,4147.500000,4147.500000,22116000
2021-08-23,4160.759766,4184.029785,4157.490234,4176.419922,4176.419922,20011300
2021-08-24,4182.680176,4197.669922,4163.689941,4178.080078,4178.080078,17977500
2021-08-25,4178.169922,4188.229980,4178.169922,4181.120117,4181.120117,17482400
2021-08-26,4172.319824,4176.279785,4141.330078,4169.870117,4169.870117,20147000
2021-08-27,4167.390137,4192.089844,4160.470215,4190.979980,4190.979980,14670600
2021-08-30,4191.990234,4202.870117,4191.790039,4198.799805,4198.799805,11036000
2021-08-31,4201.770020,4222.620117,4175.319824,4196.410156,4196.410156,32956600
2021-09-01,4207.000000,4251.390137,4207.000000,4227.270020,4227.270020,28014200
2021-09-02,4225.029785,4239.020020,4219.419922,4232.100098,4232.100098,18496400
2021-09-03,4234.259766,4234.259766,4182.959961,4201.979980,4201.979980,22430000
2021-09-06,4204.069824,4252.779785,4204.069824,4246.129883,4246.129883,14030400
